name
译制公映版
西班牙语
乌克兰语
French
罗马尼亚语
英语意大利语
华语
英语；德语；意大利语
Min
英语法语德语
默片
捷克语
越南
英文字幕
鄂温克语
Kazakh
汉语普通话或陕西方言
普通话和粤语
中国话
英语等
意大利文
韩语[2]
Malay
英语+德语
塞尔维亚文
纯背景音乐
伊朗语言:
加泰罗尼亚语
马来
中国翻译后
北美印第安语
英文发音
Mono
对白汉语普通话
Flemish|French|English
韩语中字
西班语
葡萄牙语[1]
中文[1]
英国美国
Welsh
西班牙语举例：普通话
English[1]
中文／英文
泰语；法语
土耳其语
塞尔维亚克罗地亚语
黑暗语等
被印度语
法语等
塔加洛语
粤语中字
爱尔兰语
普通语
南部瑞典语
意大利语[1]
台语
普通话中英文字幕
苗语
简
部分日语
阿尔巴尼亚语
中文配音
裕固族语
俄语
日语[1]
中文发音
越剧
索马里语
莆田话
图皮语
丹麦语；波兰语
繁体中文字幕
马其顿语
克罗语
港语
西班牙语[4]
Japanese
汉语普通话[1]
库尔德语
僧伽罗语
门德语
潮汕话；普通话；粤语
普通话；粤语
国英双语
老挝语
汉语方言
乌尔都语
原版
加拿大语
蒙古语
110分钟
西班牙語
中韩双语
塔加拉族语
英语\德语
印地语英语
日语[2]
英语双语广播
无声片
英
河北丝弦
意大利
凤阳话
闽南话
武汉方言
英语西班牙语越南语法语意大利语
泰卢固
可粤语
Albanian
普通话俄语
普通话[2]
吕剧
德语
英语中文字幕
贵州话
俄罗斯语
Hawaiian[1]
英语；德语
闽南
泰庐固语
汗语普通话
俄語
英语原声
尼泊尔语
中英字幕
Dutch
Spanish
英语普通话
青岛话
国
Italian
意第绪语[3]
拉达克语
英语[6]
藏语
|
泰语；英语
尼安哈语
Ungwatsi
普通話
新式英语
Dolby
阿根廷
国粤对白
塞尔维亚
黄梅调
汉语[1]
阿布哈兹语
萨米语
辛达林语
语言粤语
粤语对白[1]
中文粤语
青海话
中字
塔加拉语
；日语；普通话
泰国语
俄文字幕
日语等
普通话；闽南语
河南语
重庆话
菲律宾语
Hindi
美语
法文法语
法語
普通话；英语；德语
法国
塔加路语
日语+英语
法语[2]
普通话配音
土耳其语英文
吉普赛语
匈牙利语
荷兰语[2]
西班牙文
对白德语
巴西手语
雷州话
中文汉语
波利尼西亚语
无对白
法国语
等13种语言
普什图语
汉族
河南安阳话
上译内参普通话DD2
塔吉克语
泰文
夏威夷语
以色列语
鞑靼语
普通话[5]
普通话汉语
音樂
犹太语
古吉拉特语
西班牙语[1]
South
马来文
方言
译制版
日文
丽水方言
Nan
中英文
旁遮普语
林加拉语
豫剧
英语；丹麦语
la
对白日语中字
淮北话
彩色片
葡语
山西汾阳话
斯瓦希里语
Bulgarian
赛德克语
玉山话
希伯来语[1]
河南周口话
Digital
希腊语
英中
波斯尼亚语
粤语普通话
单声道
英语|法语
云南话
无字幕翻译
京剧
英语西班牙语
粤语版
巴斯克语
扬州话
泰卢固语
意大利语西班牙语
韩语[1]
第一季
戏曲黔剧
阿拉伯语
关中话
瑞典语
维语
粤语对白
Marathi
黑白
英语发音
英文|
特拉古文
伊朗语
波斯语对白
普通话对白
丹麦语[1]
喜剧
中原官话
搞笑
斯华西里语
他加禄语
山西方言
德文
英语╱汉语普通话
中
北印地语
西班牙语和俄语
英语；法语；意大利语
配音
Polish
菲律宾
意第绪语
艾斯语
丹麦[1]
翻译
印度尼西亚语Bahasa
阿尔巴尼亚语[1]
马来西亚语和广东话
意大利语字幕
