from_name,to_name
花与蛇,东映
美人鱼,中影
美人鱼,和和影业
美人鱼,光线影业等
花木兰,中国电影发行放映公司
死神来了5,华纳兄弟娱乐公司
美国派,环球电影公司
穆赫兰道,环球影业
圆明园,华夏电影发行有限责任公司
剪刀手爱德华,二十世纪福克斯电影公司
霍比特人,华纳兄弟影片公司
西游记之大圣归来,聚合影联
超凡蜘蛛侠,Sony
超凡蜘蛛侠,Pictures
星际迷航,派拉蒙
星际迷航,哥伦比亚广播公司
十月围城,中国电影集团公司
黑夜传说,Screen
黑夜传说,Gems
京城81号,福建恒业电影发行有限公司
异形,福克斯
道士下山,新丽传媒股份有限公司
恐怖游轮,Icon
恐怖游轮,Entertainment
恐怖游轮,International
煎饼侠,万达影视传媒有限公司
煎饼侠,[中国]
煎饼侠,五洲电影发行公司
煎饼侠,华夏电影发行公司
煎饼侠,大众点评网
雷神,派拉蒙影业公司
假如爱有天意,Cinema
假如爱有天意,Service
X战警：逆转未来,二十世纪福克斯电影公司
美丽人生,New
美丽人生,Films
美丽人生,International
蜘蛛侠,哥伦比亚影业公司
阿凡达2,二十世纪福克斯电影公司
美丽心灵,United
美丽心灵,International
美丽心灵,Pictures
美丽心灵,UIP
美丽心灵,GmbH
极品飞车,迪士尼
我的野蛮女友,C-Sky
我的野蛮女友,Enterprise
我的野蛮女友,[澳大利亚]
我的野蛮女友,等
敢死队3,师门影视
港囧,天津猫眼传媒公司
傲慢与偏见,Excel
傲慢与偏见,Entertainment
逆战,华谊兄弟传媒股份有限公司[中国]等
机械师,CBS
机械师,Films
王昭君,邵氏兄弟有限公司
汉尼拔,米高梅电影公司
艋舺,美商华纳兄弟公司台湾分公司
杀破狼2,博纳影业集团
杀破狼2,巴福斯影业
杀破狼2,猫眼电影[4]
黑天鹅,福克斯探照灯公司
小时代3：刺金时代,乐视影业
星球大战,二十世纪福斯电影公司
蒲公英,东宝映画
警察故事2013,万达影视
警察故事2013,星光灿烂影视
潜伏,FilmDistrict
罗生门,美国雷电华影片公司
色情男女,嘉禾娱乐事业有限公司
全城热恋,华谊兄弟
全城热恋,20世纪福克斯
白蛇传说,博纳影业
白蛇传说,中影集团
白蛇传说,巨力影视
美国队长2,华特·迪士尼电影公司
林中小屋,狮门电影公司
将爱情进行到底,北京小马奔腾影业有限公司
终结者,二十世纪福斯公司
终结者,法国
终结者,等
惊天魔盗团,英皇电影
惊天魔盗团,中国香港
惊天魔盗团,顶峰娱乐
惊天魔盗团,美国
黑客帝国,华纳兄弟影片公司
源代码,顶峰娱乐
孙子兵法,上海奇迹影业有限公司
放牛班的春天,Pathé
放牛班的春天,Cinéma
寒战,银都电影发行
寒战,安乐
寒战,北京
寒战,电影发行
老男孩之猛龙过江,乐视影业
万有引力,天使之翼
万有引力,北京
万有引力,影视投资有限公司
搜神记,芭乐
雏菊,Shaw
雏菊,Organisation
雏菊,新加坡
超体,环球影业
超体,美国
超体,等
绝代双骄,邵氏兄弟
绝代双骄,香港
绝代双骄,有限公司
谍影重重,环球影业
澳门风云2,博纳影业集团
金刚狼2,二十世纪福斯电影公司
金刚狼2,美国
明日边缘,华纳兄弟电影公司
没关系，是爱情啊,韩国SBS电视台
小李飞刀,龙祥影业有限公司
