from_name,to_name
断背山,李安
速度与激情5,林诣彬
云图,汤姆·提克威
云图,沃卓斯基姐弟
复仇者联盟2：奥创纪元,乔斯·韦登
樱兰高校男公关部,韩哲
樱兰高校男公关部,佐藤敦司
樱兰高校男公关部,芝崎弘记
心花路放,宁浩
颐和园,娄烨
三生三世十里桃花,赵小丁
三生三世十里桃花,安东尼·拉默里纳拉
古今大战秦俑情,程小东
天与地,角川春树
DREAM HIGH2,李应福
猩球崛起,鲁伯特·瓦耶特
勇敢的心,梅尔·吉布森
罗马帝国艳情史,丁度·巴拉斯
铁钩船长,史蒂文·斯皮尔伯格
貂蝉,卜万苍
貂蝉,李翰祥
貂蝉,赵树燊
貂蝉,陈焕文
蝙蝠侠,蒂姆·伯顿
太极,冯德伦
爱的色放,朴在浩
三傻大闹宝莱坞,拉库马·希拉尼
恋空,今井夏木
人体蜈蚣,汤姆·希克斯
活着,张艺谋
赤裸羔羊,霍耀良
上位,管晓杰
建党伟业,韩三平
建党伟业,黄建新
上善若水,武洪武
神马都是浮云,陶明喜
青春期4,管晓杰
世界地图,Scott
世界地图,Elliott
玉蒲团之偷情宝鉴,麦当杰[1]
忠烈杨家将,于仁泰
薰衣草,叶锦鸿
好想告诉你,熊泽尚人
左耳,苏有朋
小说,吕乐
感官世界,石井隆
智齿,郑址宇
荷尔蒙,松耀司·舒克马卡纳尼
小时代4：灵魂尽头,郭敬明
大太监,宋廷美
老炮儿,管虎
午夜凶铃,中田秀夫
午夜凶铃,饭田让治
午夜凶铃,鹤田法男等
色情市场,田中登
色情市场,Noboru
色情市场,Tanaka
海上钢琴师,吉赛贝·托纳多雷
锦衣卫,李仁港
咒怨,清水崇
终结者,詹姆斯·卡梅隆
终结者,乔纳森·莫斯托等
异形,雷德利·斯科特
魁拔,王川等
大男当婚,Nayan
大男当婚,Padrai
尼基塔,吕克·贝松
黑洞,Philip
黑洞,Sansom
黑洞,Olly
黑洞,Williams
彼岸花,小津安二郎
花与蛇,石井隆
荷尔蒙,songyos
荷尔蒙,sugmakanan
玉蒲团之玉女心经,钱文琦[1]
美人鱼,周星驰
悲惨世界,汤姆·霍伯
花木兰,刘国权
花木兰,张新实
屈原,鲍方
屈原,许先
碟中谍4,布拉德·伯德
长恨歌,关锦鹏
死神来了5,史蒂文·奎里
与我上床,Clément
与我上床,Virgo
杨贵妃,李翰祥
钢铁是怎样炼成的,马克·顿斯阔依
美国派,克里斯·韦兹
美国派,保罗·韦兹
钢铁是怎样炼成的,Nikolai
钢铁是怎样炼成的,Mashchenko
3D金瓶梅,钟继昌
3D金瓶梅,钱文琦
无间道,刘伟强
无间道,麦兆辉
穆赫兰道,大卫·林奇
圆明园,薛继军
圆明园,总导演
圆明园,；金铁木
剪刀手爱德华,蒂姆·波顿
不能说的秘密,周杰伦
霍比特人,彼得·杰克逊
西游记之大圣归来,田晓鹏
怦然心动,罗伯·莱纳
怦然心动,Rob
怦然心动,Reiner
超凡蜘蛛侠,马克·韦布
十月围城,陈德森
动物性本能2,葛雷格瑞·达克
黑夜传说,朗·怀斯曼
黑夜传说,Len
黑夜传说,Wiseman
辛德勒的名单,史蒂文·斯皮尔伯格
孤岛惊魂,钟继昌
京城81号,叶伟民
我唾弃你的坟墓,史蒂文·R·蒙若尔
宝贝,梦继
越光宝盒,刘镇伟
琵琶行,仰天乐
恋之欲室,吉田良子
我叫MT,核桃
异形,雷德利·斯科特
异形,詹姆斯·卡梅隆等
道士下山,陈凯歌
恐怖游轮,克里斯托弗·史密斯
煎饼侠,董成鹏
笔仙,安炳基
中国梦,影视策划人
雷神,肯尼思·布拉纳
假如爱有天意,郭在容
X战警：逆转未来,布莱恩·辛格
美丽人生,亚历桑德罗·乔姆斯基
蜘蛛侠,山姆·雷米
阿凡达2,詹姆斯·卡梅隆
美丽人生,Boro
美丽人生,Draskovic
美丽心灵,朗·霍华德
忠犬八公的故事,莱塞·霍尔斯道姆
极品飞车,斯科特·沃夫
我的野蛮女友,郭在容
潜伏,姜伟
潜伏,付玮
手机,冯小刚
敢死队3,帕特里克·休斯
赤裸特工,程小东Siu-Tung
赤裸特工,Ching
黄金大劫案,宁浩
港囧,徐峥
傲慢与偏见,安德鲁·布莱克
逆战,林超贤
新少林寺,陈木胜
星空,林书宇
切肤之爱,三池崇史
挪威的森林,陈英雄
傲慢与偏见,Cyril
傲慢与偏见,Coke
机械师,西蒙·韦斯特
四大名捕2,陈嘉上
四大名捕2,秦小珍
王昭君,李翰祥
傲慢与偏见,Joan
傲慢与偏见,Craft
汉尼拔,雷德利·斯科特
情欲禁地,Julián
情欲禁地,Hernández
赛德克·巴莱,魏德圣
艋舺,钮承泽
杀破狼2,郑保瑞
狼,David
狼,Hayter
黑天鹅,达伦·阿伦诺夫斯基
小时代3：刺金时代,郭敬明
肏我,维吉妮·德彭特特
肏我,柯拉莉·郑轼
霍元甲,袁和平
头文字D,刘伟强
头文字D,麦兆辉
星球大战,乔治·卢卡斯
蒲公英,伊丹十三
警察故事2013,丁晟
潜伏,温子仁
罗生门,黑泽明
宝贝,广春兰
宝贝,谢定国
囡囡,毕国智
致命ID,詹姆斯·曼高德
色情男女,尔冬升
色情男女,罗志良
苏醒,滕文骥
苏醒,埃里·康乃尔
苏醒,林伟
迷失,马里斯·马丁松斯
全城热恋,夏永康
全城热恋,陈国辉
花,娄烨
花,Ye
花,Lou
白蛇传说,程小东
迷失,宁浩
美国队长2,安东尼·罗素
美国队长2,乔·罗素
四大天王,吴彦祖
林中小屋,德鲁·高达
暮光之城：破晓（下）,比尔·康顿
将爱情进行到底,张一白
终结者,詹姆斯·卡梅隆
惊天魔盗团,路易斯·莱特里尔
黑客帝国,安迪·沃卓斯基
黑客帝国,拉娜·沃卓斯基
秦时明月之龙腾万里,沈乐平
隐私欲望,大威·汉密尔顿
GAY,汤姆·希克斯
GAY,Tom
GAY,Six
源代码,邓肯·琼斯
孙子兵法,胡波
无人区,宁浩
无人区,Hao
无人区,Ning
孙子兵法,胡波
孙子兵法,詹姆斯
孙子兵法,卡梅隆
绝代双骄,曾志伟
放牛班的春天,克里斯托夫·巴拉蒂
凤凰,金琛
寒战,梁乐民
寒战,陆剑青
老男孩之猛龙过江,肖央
万有引力,赵天宇
搜神记,韩琰
南妹皇后,Bong
南妹皇后,Siu
雏菊,刘伟强
宁静,Krzysztof
宁静,Kieslowski
